"title","author","isbn","topic","format","location","year","total_copies"
"Data Science for Business","Foster Provost","9781449361327","Data Science","book","DS-308","2013","5"
"Designing Data-Intensive Applications","Martin Kleppmann","9781449373320","Data Science","book","DS-309","2017","7"
"Naked Statistics","Charles Wheelan","9780393347777","Data Science","book","DS-310","2013","4"
"R for Data Science","Hadley Wickham","9781491910399","Data Science","book","DS-311","2016","5"
"Think Stats: Exploratory Data Analysis","Allen B. Downey","9781449307110","Data Science","book","DS-312","2014","3"
"Doing Data Science","Cathy O'Neil","9781449358655","Data Science","book","DS-313","2013","2"
"Introduction to Probability","Joseph K. Blitzstein","9781466575578","Data Science","book","DS-314","2014","4"
"Python Data Science Handbook","Jake VanderPlas","9781491912058","Data Science","book","DS-315","2016","6"
"Data Visualisation: A Handbook for Data Driven Design","Andy Kirk","9781526468925","Data Science","book","DS-316","2019","3"
"Big Data: A Revolution That Will Transform How We Live","Viktor Mayer-Schönberger","9780544227750","Data Science","book","DS-317","2013","4"
"Advanced R","Hadley Wickham","9781466586963","Data Science","book","DS-318","2014","2"
"Design Patterns: Elements of Reusable Object-Oriented Software","Erich Gamma","9780201633610","General","book","GEN-04","1994","5"
"Refactoring: Improving the Design of Existing Code","Martin Fowler","9780134757599","General","book","GEN-05","2018","4"
"Code Complete","Steve McConnell","9780735619678","General","book","GEN-06","2004","6"
"Structure and Interpretation of Computer Programs","Harold Abelson","9780262510875","General","book","GEN-07","1996","3"
"Code: The Hidden Language of Computer Hardware and Software","Charles Petzold","9780735611313","General","book","GEN-08","2000","5"
"Head First Design Patterns","Eric Freeman","9780596007126","General","book","GEN-09","2004","4"
"Soft Skills: The software developer's life manual","John Sonmez","9781617292392","General","book","GEN-10","2014","3"
"The Clean Coder","Robert C. Martin","9780137081073","General","book","GEN-11","2011","5"
"Cracking the Coding Interview","Gayle Laakmann McDowell","9780984782857","General","book","GEN-12","2015","8"
"Working Effectively with Legacy Code","Michael Feathers","9780131177055","General","book","GEN-13","2004","3"
"Continuous Delivery","Jez Humble","9780321601919","General","book","GEN-14","2010","4"
"Domain-Driven Design","Eric Evans","9780321125217","General","book","GEN-15","2003","3"
"Test Driven Development: By Example","Kent Beck","9780321146533","General","book","GEN-16","2002","4"
"The Phoenix Project","Gene Kim","9780988262591","General","book","GEN-17","2013","5"
"Patterns of Enterprise Application Architecture","Martin Fowler","9780321127426","General","book","GEN-18","2002","2"
"Pattern Recognition and Machine Learning","Christopher M. Bishop","9780387310732","Machine Learning","book","ML-404","2006","3"
"Introduction to Machine Learning with Python","Andreas C. Müller","9781449369415","Machine Learning","book","ML-405","2016","5"
"Machine Learning: A Probabilistic Perspective","Kevin P. Murphy","9780262017091","Machine Learning","book","ML-406","2012","2"
"Approaching (Almost) Any Machine Learning Problem","Abhishek Thakur","9788269211507","Machine Learning","book","ML-407","2020","4"
"Machine Learning Engineering","Andriy Burkov","9781999579579","Machine Learning","book","ML-408","2020","4"
"The Hundred-Page Machine Learning Book","Andriy Burkov","9781999579500","Machine Learning","book","ML-409","2019","6"
"Deep Learning with Python","François Chollet","9781617294433","Machine Learning","book","ML-410","2017","5"
"Mathematics for Machine Learning","Marc Peter Deisenroth","9781108455145","Machine Learning","book","ML-411","2020","6"
"Foundations of Machine Learning","Mehryar Mohri","9780262039406","Machine Learning","book","ML-412","2018","2"
"Understanding Machine Learning: From Theory to Algorithms","Shai Shalev-Shwartz","9781107057135","Machine Learning","book","ML-413","2014","3"
"Applied Predictive Modeling","Max Kuhn","9781461468486","Machine Learning","book","ML-414","2013","3"
"Feature Engineering for Machine Learning","Alice Zheng","9781491953242","Machine Learning","book","ML-415","2018","4"
"Machine Learning Design Patterns","Valliappa Lakshmanan","9781098115784","Machine Learning","book","ML-416","2020","4"
"Neural Networks and Deep Learning","Michael Nielsen","9781492032649","Machine Learning","book","ML-417","2015","3"
"Speech and Language Processing","Daniel Jurafsky","9780131873216","Machine Learning","book","ML-418","2008","2"
"Operating Systems: Design and Implementation","Andrew S. Tanenbaum","9780131429383","Operating Systems","book","OS-504","2006","3"
"Linux Kernel Development","Robert Love","9780672329463","Operating Systems","book","OS-505","2010","4"
"Advanced Programming in the UNIX Environment","W. Richard Stevens","9780321637734","Operating Systems","book","OS-506","2013","3"
"Unix Network Programming","W. Richard Stevens","9780131411555","Operating Systems","book","OS-507","2003","2"
"Windows Internals","Mark E. Russinovich","9780735684188","Operating Systems","book","OS-508","2012","2"
"The Design of the UNIX Operating System","Maurice J. Bach","9780132017992","Operating Systems","book","OS-509","1986","2"
"Operating Systems: A Concept-Based Approach","D.M. Dhamdhere","9780070611948","Operating Systems","book","OS-510","2006","3"
"Understanding the Linux Kernel","Daniel P. Bovet","9780596005658","Operating Systems","book","OS-511","2005","4"
"Linux Device Drivers","Jonathan Corbet","9780596005900","Operating Systems","book","OS-512","2005","2"
"The Linux Programming Interface","Michael Kerrisk","9781593272203","Operating Systems","book","OS-513","2010","5"
"Operating System Concepts Essentials","Abraham Silberschatz","9781118804926","Operating Systems","book","OS-514","2013","4"
"Distributed Systems: Principles and Paradigms","Andrew S. Tanenbaum","9780132392273","Operating Systems","book","OS-515","2007","3"
"Real-Time Systems","Jane W. S. Liu","9780130996510","Operating Systems","book","OS-516","2000","2"
"Operating Systems: Internals and Design Principles","William Stallings","9780133805918","Operating Systems","book","OS-517","2014","4"
"Systems Performance: Enterprise and the Cloud","Brendan Gregg","9780133390094","Operating Systems","book","OS-518","2013","3"
"Computational Complexity: A Modern Approach","Sanjeev Arora","9780521424264","Theory of Computation","book","TH-603","2009","3"
"Introduction to Automata Theory, Languages, and Computation","John E. Hopcroft","9780321455369","Theory of Computation","book","TH-604","2006","4"
"Elements of the Theory of Computation","Harry R. Lewis","9780132624787","Theory of Computation","book","TH-605","1997","3"
"Automata and Computability","Dexter C. Kozen","9780387949079","Theory of Computation","book","TH-606","1997","2"
"Quantum Computation and Quantum Information","Michael A. Nielsen","9781107002173","Theory of Computation","book","TH-607","2010","4"
"The Nature of Computation","Cristopher Moore","9780199233212","Theory of Computation","book","TH-608","2011","3"
"Introduction to Formal Languages and Automata","Peter Linz","9781284077247","Theory of Computation","book","TH-609","2016","3"
"Languages and Machines","Thomas A. Sudkamp","9780321322210","Theory of Computation","book","TH-610","2005","2"
"Logic in Computer Science","Michael Huth","9780521543101","Theory of Computation","book","TH-611","2004","2"
"Computability and Logic","George S. Boolos","9780521701464","Theory of Computation","book","TH-612","2007","3"
